MMSI,Latitude,Longitude,COG,SOG,Time
226183000,51.1125,1.7293,44.1,2.6,20/11/2018 15:22:41.834
232018152,50.7953,0.3275,360.0,0.0,20/11/2018 15:22:42.045
232005627,52.4754,1.7585,253.1,0.0,20/11/2018 15:22:42.287
205454000,52.5817,1.7317,170.6,0.1,20/11/2018 15:22:43.104
235050291,52.601,1.7266,360.0,0.0,20/11/2018 15:22:43.107
249436000,51.4712,0.2483,167.9,0.0,20/11/2018 15:22:43.108
235117937,52.6043,1.7255,254.9,0.0,20/11/2018 15:22:44.239
235114376,51.3296,1.4218,173.0,0.0,20/11/2018 15:22:44.376
311037500,51.0801,1.7181,46.9,9.3,20/11/2018 15:22:44.436
227144600,51.0869,1.6933,40.3,2.4,20/11/2018 15:22:44.437
255805777,50.7378,1.3748,18.0,8.2,20/11/2018 15:22:44.546
205294000,51.2321,2.9357,206.7,0.1,20/11/2018 15:22:44.840
235055098,51.4457,0.3711,248.6,0.0,20/11/2018 15:22:44.945
232009775,52.0069,1.1932,360.0,0.0,20/11/2018 15:22:45.121
235086068,51.3296,1.4215,289.2,0.0,20/11/2018 15:22:46.082
235022612,51.4456,0.375,175.8,0.1,20/11/2018 15:22:46.577
212487000,51.925,1.342,261.0,13.4,20/11/2018 15:22:46.583
249486000,51.4505,0.3649,187.0,0.0,20/11/2018 15:22:47.491
244116000,51.5039,0.8913,293.2,6.0,20/11/2018 15:22:47.607
257206000,51.4592,0.3515,93.0,0.1,20/11/2018 15:22:48.472
235116011,51.9484,1.2485,106.1,0.0,20/11/2018 15:22:48.525
477737700,51.9458,1.3147,68.7,0.0,20/11/2018 15:22:49.059
235116921,52.4734,1.7546,0.0,0.0,20/11/2018 15:22:49.139
235056698,51.8507,0.9652,343.2,0.0,20/11/2018 15:22:49.198
257082000,51.3263,2.3616,62.5,3.8,20/11/2018 15:22:49.255
219115000,51.4783,2.0041,214.1,16.7,20/11/2018 15:22:49.255
352871000,51.9476,1.3137,206.0,0.0,20/11/2018 15:22:49.482
235077715,51.0706,1.7305,281.5,11.8,20/11/2018 15:22:50.034
232008120,51.4449,0.396,198.3,0.0,20/11/2018 15:22:50.097
220612000,52.5964,1.7539,215.6,0.1,20/11/2018 15:22:50.237
305996000,51.4491,0.3354,273.2,0.0,20/11/2018 15:22:50.258
232000790,51.4481,0.3396,238.4,0.0,20/11/2018 15:22:50.394
636016321,51.5026,0.4906,21.9,0.1,20/11/2018 15:22:50.448
209361000,51.4614,0.3398,328.2,0.0,20/11/2018 15:22:51.118
