Time,Latitude,Longitude,SOG (NM/s),COG,Track Number,Confirmed Track
15:15:27.7578125,37.6906162,-9.8103171,0.0043335,166.2451172,1767,1
15:15:27.7578125,37.6535550,-9.5284924,0.0040894,344.4982910,1641,0
15:15:27.7578125,37.9155465,-8.8660597,0.0000000,85.9185791,936,1
15:15:27.7578125,37.6090635,-9.6358429,0.0031128,349.3322754,1749,1
15:15:27.7578125,38.4725510,-8.8092014,0.0000610,95.9985352,1765,1
15:15:27.7578125,37.9057566,-8.8678249,0.0000000,3.2849121,1537,0
15:15:27.7578125,37.7368501,-9.8129446,0.0054321,166.4923096,1694,1
15:15:27.7578125,37.9481094,-8.8833634,0.0002441,350.1727295,1731,1
15:15:27.7578125,37.8864016,-8.9761141,0.0002441,142.3883057,1763,1
15:15:27.7578125,37.3922119,-9.4768834,0.0035400,345.4376221,1769,1
15:15:27.7578125,38.1477880,-9.7643310,0.0032959,341.1529541,1770,0
15:15:27.7578125,37.7423845,-9.8416916,0.0033569,9.1241455,1771,1
15:15:27.7578125,37.9076552,-8.8779377,0.0000000,25.7629395,947,1
15:15:27.7578125,37.7631768,-9.5527004,0.0032349,215.7385254,1757,0
15:15:27.765625,38.3438749,-9.0790457,0.0026245,222.3358154,1764,0
15:15:27.765625,37.8934476,-8.8584946,0.0001221,350.0683594,1762,1
15:15:27.765625,37.8910689,-8.8702971,0.0000000,207.5701904,1602,1
15:15:27.765625,37.9166641,-8.8572470,0.0000000,80.6726074,1388,0
15:15:27.765625,37.5724612,-9.5155565,0.0028076,349.4805908,1752,0
15:15:28.7578125,37.6906162,-9.8103171,0.0043335,166.2451172,1767,1
15:15:28.7578125,37.6535550,-9.5284924,0.0040894,344.4982910,1641,0
15:15:28.7578125,37.9155465,-8.8660597,0.0000000,85.9185791,936,1
15:15:28.7578125,37.6090635,-9.6358429,0.0031128,349.3322754,1749,1
15:15:28.7578125,38.4725510,-8.8092014,0.0000610,95.9985352,1765,1
